Timestamp,PT1,PT2,LC,LC_VOLT,Packet Delimiter
2308101,782.98,784.78,-0.40,0.00,-42069
2308162,781.77,784.78,-0.40,0.00,-42069
2308192,782.98,784.78,-0.40,0.00,-42069
2308222,782.98,784.78,-0.40,0.00,-42069
2308315,779.34,785.99,-0.40,0.00,-42069
2308407,781.77,781.15,-0.40,0.00,-42069
2308436,781.77,784.78,-0.40,0.00,-42069
2308467,782.98,784.78,-0.40,0.00,-42069
2308498,782.98,784.78,-0.40,0.00,-42069
2308590,782.98,784.78,-0.40,0.00,-42069
2308681,782.98,784.78,-0.40,0.00,-42069
2308712,781.77,784.78,-0.40,0.00,-42069
2308866,782.98,784.78,-0.40,0.00,-42069
2308957,782.98,783.57,-0.40,0.00,-42069
2309018,782.98,784.78,-0.40,0.00,-42069
2309049,781.77,784.78,-0.40,0.00,-42069
2309141,784.20,784.78,-0.40,0.00,-42069
2309232,781.77,785.99,-0.40,0.00,-42069
2309263,782.98,784.78,-0.40,0.00,-42069
2309294,782.98,785.99,-0.40,0.00,-42069
2309324,782.98,781.15,-0.40,0.00,-42069
2309355,781.77,783.57,-0.40,0.00,-42069
2309386,782.98,784.78,-0.40,0.00,-42069
2309477,782.98,785.99,-0.40,0.00,-42069
2309569,781.77,784.78,-0.40,0.00,-42069
2309630,782.98,785.99,-0.40,0.00,-42069
2309661,781.77,782.36,-0.40,0.00,-42069
2309722,782.98,784.78,-0.40,0.00,-42069
2309814,782.98,784.78,-0.40,0.00,-42069
2309875,782.98,784.78,-0.40,0.00,-42069
2309906,782.98,784.78,-0.40,0.00,-42069
2309936,784.20,785.99,-0.40,0.00,-42069
2309966,782.98,784.78,-0.40,0.00,-42069
2310089,782.98,782.36,-0.40,0.00,-42069
2310151,782.98,785.99,-0.40,0.00,-42069
2310211,781.77,785.99,-0.40,0.00,-42069
2310242,784.20,785.99,-0.40,0.00,-42069
2310273,780.56,785.99,-0.40,0.00,-42069
2310365,782.98,782.36,-0.40,0.00,-42069
2310426,784.20,785.99,-0.40,0.00,-42069
2310456,784.20,785.99,-0.40,0.00,-42069
2310487,784.20,785.99,-0.40,0.00,-42069
2310517,784.20,785.99,-0.40,0.00,-42069
2310548,782.98,787.20,-0.40,0.00,-42069
2310640,782.98,787.20,-0.40,0.00,-42069
2310701,784.20,785.99,-0.40,0.00,-42069
2310762,784.20,785.99,-0.40,0.00,-42069
2310793,784.20,785.99,-0.40,0.00,-42069
2310823,782.98,782.36,-0.40,0.00,-42069
2310916,784.20,785.99,-0.40,0.00,-42069
2310976,782.98,787.20,-0.40,0.00,-42069
2311007,784.20,785.99,-0.40,0.00,-42069
2311037,784.20,783.57,-0.40,0.00,-42069
2311068,784.20,785.99,-0.40,0.00,-42069
2311099,784.20,785.99,-0.40,0.00,-42069
2311190,782.98,785.99,-0.40,0.00,-42069
2311282,781.77,785.99,-0.40,0.00,-42069
2311313,784.20,785.99,-0.40,0.00,-42069
2311374,784.20,785.99,-0.40,0.00,-42069
2311465,784.20,787.20,-0.40,0.00,-42069
2311527,784.20,787.20,-0.40,0.00,-42069
2311558,784.20,787.20,-0.40,0.00,-42069
2311588,781.77,785.99,-0.40,0.00,-42069
2311619,784.20,787.20,-0.40,0.00,-42069
